highway_name,start_city,end_city,distance_km,notes
503,Mubarakpur (near NH-3),Macleodganj,140.18,"The highway starting from its junction with NH-3 at Mubarakpur connecting Dera Gopipur, Ranital, Kangra, Mataur, Dharamshala and terminating at Macleodganj in the State of Himachal Pradesh. Old NH No.: 88, 20A."
,Mubarakpur (near NH-3),Kiratpur (near new NH No. 205),40,"The highway starting from its junction with NH-3 near Mubarakpur connecting Amb, Una, Dehlan in the State of Himachal Pradesh, Anandpur Sahib, Kiratpur and terminating at its junction with new NH No. 205 in the State of Punjab. Old NH No.: 244."
503A,Amritsar (near NH-3),Bhota (near NH-103),209,"The highway starting from its junction with NH-3 at Amritsar connecting Mehta, Sri Hargobindpur, Tanda, Hoshiarpur in the State of Punjab, Una, Basoli, Barsar, Salooni and terminating at its junction with NH-103 near Bhota in the State of Himachal Pradesh. Old NH No.: 320."
703,Jalandhar (near NH-3),Sirsa (near new NH No. 9),248.99,"The highway starting from its junction near Jalandhar on NH-3 connecting Nakodar, Moga, Badhni, Barnal, Hadiaya, Mansa, Jhunir in the State of Punjab, Sardulgarh and terminating at its junction with new NH No. 9 near Sirsa in the State of Haryana. Old NH No.: 71."
703A,Jalandhar (near new NH-3),Arifke (near new NH No. 354),160,"The highway starting from its junction with new NH-3 near Jalandhar connecting Kapurthala, Sultanpur Lodhi, Pindi, Makhu, Maluwalia Wala, Malanwala, Ilmewala and terminating at its junction with new NH No. 354 near Arifke in the State of Punjab. Old NH No.: 263."
4,Mayabandar,Chiriyatapu,330.7,"The highway connecting Mayabandar Port Blair, Chiriyatapu in Andaman Nicobar Islands. Old NH No.: 223."
5,Firozpur,Shipkila (India/Tibet Border),660.13,"The highway connecting Firozpur, Moga, Jagraon, Ludhiana, Kharar in the State of Punjab, Chandigarh, Kalka in Haryana, Solan, Shimla, Theog, Narkanda, Rampur, Chini and proceeding to the Border between India and Tibet near Shipkila in the State of Himachal Pradesh. Old NH No.: 95, 21 & 22."
105,Pinjore (near NH-5),Swarghat (near NH-205),66.38,"The highway starting from its junction with NH-5 near Pinjore in Haryana connecting Baddi, Nalagarh and terminating at its juction with NH-205 near Swarghat in the State of Himachal Pradesh. Old NH No.: 21A."
205,Kharar,Shimla (near NH-5),196,"The highway connecting Kharar Ropar (Rup Nagar) in the State of Punjab Swarghat, Nauni, Darlaghat and terminating at its junction with NH-5 near Shimla in the State of Himachal Pradesh. Old NH No.: 21, 88."
205A,Kharar (on NH-5),Tepla (on NH-44),40,The highway starting from its junction with NH-5 at Kharar connecting Banur and terminating at its junction with NH-44 at Tepla in the state of Punjab. Old NH No.: 323.
305,Sainj (on N.H-5),Aut (on NH-3),97,"The highway starting from Sainj on N.H-5 connecting Luhri, Ani, Jalori, Banjar, and terminating at Aut on NH-3 in the state of Himachal Pradesh. Old NH No.: 15A."
505,Khab Sangam (near NH-5),Gramphoo,282,"The highway starting from its junction with NH-5 near Khab Sangam connecting Chango, Sumdo, Tabo, Attargo, Kaza, Morang, Hanse, Losar, Lachu, Chhota Dhara and terminating at Gramphoo in the State of Himachal Pradesh. Old NH No.: 243."
505A,Powari (near NH-5),Kalpa,17,The highway starting from its junction with NH No. 5 near Powari connecting Reckong Peo and terminating at Kalpa in the State of Himachal Pradesh. Old NH No.: 335.
705,Theog (near NH-5),Hatkoti (on NH-707),68,"The highway starting from its junction with NH-5 near Theog connecting Kotkhai, Jubbal and terminating at its junction with NH-707 at Hatkoti in the state of Himachal Pradesh. Old NH No.: 316."
6,Jorabat (near NH-27),Zokhawthar,636.52,"The highway starting from its junction with NH-27 near Jorabat in the State of Assam connecting Shillong, Dhaleshwar, Kanpui, Aizawal, Selling, Lumtui, Khawthlir, Tuisen, Neihdawn, Champai and terminating at Zokhawthar in the State of Mizoram. Old NH No.: 40, 44, 154, & 54."
106,Shillong (near NH-6),Nongstoin,93.08,The highway starting from its junction with NH-6 near Shillong and terminating at Nongstoin in the State of Meghalaya. Old NH No.: 40 & 44.
206,Jowai (near NH-6),Mylliem (near NH-106),126.86,The highway starting from its junction with NH-6 near Jowai connecting Dauki and terminating at its junction with NH-106 near Mylliem in the State of Meghalaya. Old NH No.: 40.
306,Kanpui (near NH-6),Silchar (near NH-37),112.3,The highway starting from its junction with NH-6 near Kanpui in the State of Mizoram and terminating at its junction with NH-37 near Silchar in the State of Assam. Old NH No.: 54.
306A,Vairengte (near NH-306),New Vertek (near NH-2),60,"The highwat starting from its junction with NH-306 near Vairengte connecting Saiphai, Zonmun and terminating at its junction with NH-2 near New Vertek in the state of Mizoram. Old NH No.: 302."
7,Fazilka (India/Pakistan Border),Mana,845.25,"The highway starting from Fazilka (India/Pakistan Border and connecting Abohar, Malaut, Bathinda, Barnala, Sangrur, Patiala, Rajpura in the State of Punjab, Panchkula, Raipur Rani, Dhanana in the State of Haryana, Ponta-Sahib in Himachal Pradesh, near Dehradun, Rishikesh, Devprayag, near Rudraprayag, Karnaprayag, Chamoli, Badrinath, Mana in the State of Uttarakhand. Old NH No.: 10, 15, 22, 58, 64, 71, 72, & 73."
107,Rudraprayag (near NH-7),Gaurikund (near Kedarnath Dham),76,The highway starting from its junction with NH-7 near Rudraprayag and connecting Guptkashi Phata and terminating at Gaurikund near Kedarnath Dham in the State of Uttarakhand. Old NH No.: 109.
107A,,,84.2,Old NH No.: 232.
307,Chamoli (near new NH No. 7),Baramwari (near new NH No. 107),30,"The highway starting from its junction with new NH No. 7 near Chamoli connecting Gopeshwar, Okhimath and terminating at its junction on new NH No. 107 near Baramwari in the State of Uttarakhand. Old NH No.: 22."
507,Dehradun (near NH-7),Chhutmalpur (near NH-344),37.45,"The highway starting from its junction with NH-7 near Dehradun in the State of Uttarakhand and connecting Mohand, Biharigarh, and terminating its junction with NH-344 near Chhutmalpur in the State of Uttar Pradesh. Old NH No.: 72A. Note: This route is 7.45 km in Uttarakhand and 30.00 km in Uttar Pradesh."
507,Harbatpur (near NH-7),NH-134,111.35,"The highway starting from NH-7 near Harbatpur connecting Vikasnagar, Kalsi, Barkot and terminating at its junction with NH-134 in State of Uttarakhand. Old NH No.: 123."
707,Paonta Sahib (near NH-7),Hatkoti,159.34,"The highway starting from its junciton with NH-7 near Paonta Sahib connecting Rajban, Shillai, Minas in the State of Himachal Pradesh and passing through Minus-Tiuni in Uttarakhand and terminating at Hatkoti in the State of Himachal Pradesh. Old NH No.: 72B."
707A,Tiuni (on NH No. 707),Srinagar (on NH No. 7),310,"The highway starting from its junction with NH No. 707 at Tiuni connecting Chakrata, Bhediyana, Mussoorie, New Tehri and terminating at its junction with NH No. 7 at Srinagar in the State of Uttarakhand. Old NH No.: 317."
907,Paonta Sahib (near NH-7),Yamuna Nagar (near NH-344),53.3,"The highway starting from its junction with NH-7 near Paonta Sahib in the State of Himachal Pradesh and connecting Darpur, Ledi, Mustafabad, Jagadhri and terminating at its junction with NH-344 near Yamuna Nagar in the State of Haryana. Old NH No.: 73A."
907A,Nahan (near NH No- 7),Kumarhatti (near NH No-5),61.1,"The Highway starting from its junction with NH No- 7 near Nahan connecting Banethi, Sarahan and terminating at its junction with NH No-5 near Kumarhatti in the state of Himachal Pradesh. Old NH No.: 327."
8,Karimganj (near NH-37),Indo/Bangladesh Border,496.91,"The highway starting from its junction with NH-37 near Karimganj in the State of Assam connecting Patharkandi, Churaibari, Ambasa, Teliamura, Agartala, Udaipur, Sabrum and terminating at Indo/Bangladesh Border in the State of Tripura. Old NH No.: 44."
108,Manu (near NH-8),Aizawl (near NH-6),134,"The highway starting from its junction with NH-8 near Manu in the State of Tripura connecting Mamit, Lengpui, Sairang and terminating at its junction with NH-6 near Aizawl in the State of Mizoram. Old NH No.: 44A."
108A,Jolaibari (near new NH No. 8),Indo/Bangladesh border,22.9,The highway starting from its junction with new NH No. 8 near Jolaibari connecting Belonia and terminating at Indo/Bangladesh border. Old NH No.: 260.
208,Kumarghat (near NH-8),Sabroom (near new NH-8),265,"The highway starting from its junction with NH-8 near Kumarghat connecting Kailashahar, Khowai, Teliamura, Amarpur and terminating at its junction with new NH-8 near Sabroom (Sabrum) in the State of Tripura. Old NH No.: 259."
208A,Kailashahar (near NH-208),Chankhera (near NH-44),62.9,"The highway starting from its junction with NH-208 near Kailashahar connecting Dharamnagar, Kadamtala, Premtola, Kurti, RCC Bridge in the state of Tripura Kathaltali, Kukital and terminating at its junction with NH-44 (Old NH-8)near Chankhera in the state of Assam. Old NH No.: 329."
108B,Agartala (near NH 8),Khowai (near NH 208),55,The highway starting from its junction with NH 8 near Agartala and terminating at its junction with NH 208 near Khowai in the State of Tripura. Old NH No.: 330.
9,Malaut (near NH-7),Askot (near Indo/Nepal border),748.05,"The Highways starting from its junction with NH-7 near Malaut in the State of Punjab connecting Dabwali, Sirsa, Fatehabad, Hisar, Hansi, Rohtak, Bahadurgarh in the State of Haryana, Delhi [except portion of ring road from Punjabi Bagh (km. 12.300 of old NH No. 10) to Nizamudin bridge ring road T junction (km. 0.00 of old NH No. 24)], Ghaziabad, Moradabad, Rampur, Bilaspur in the State of Uttar Pradesh, Rudrapur, Sitarganj, Khatima, Tanakpur, Pithoragarh, Ogla and terminating at Askot near Indo/Nepal border in the State of Uttarakhand. Old NH No.: 10, 24, 87, 74 & 125."
109,Rudrapur (near NH-9),Karnaprayag (near NH-7),314,"The highway starting from its junction with NH-9 and connecting Rudrapur, Haldwani Nainital, Bhowali, Almora, Ranikhet, Dwarahat, Chaukhutiya, Gairsaing, Adbadri and terminating at its juction with NH-7 near Karnaprayag in the State of Uttarakhand. Old NH No.: 87."
309,Rudrapur (near NH-9),Srinagar (near NH-7),264,"The highway starting from its junction with NH-9 near Rudrapur connecting Kashipur, Ramnagar, Dhumakot, Thalisain, Tripalisan, Bubakhal, Pauri and terminating at its junction with NH-7 near Srinagar in the State of Uttarakhand. Old NH No.: 74, 121 & 119."
309A,Rameshwar (near new NH No. 9),Almora (near new NH No. 109),208,"The highway starting from its junction with new NH No. 9 near Rameshwar connecting Gangolihat, Berinag, Chaukori, Kanda, Bagheshwar, Takula and terminating at its junction with new NH No. 109 near Almora in the State of Uttarakhand. Old NH No.: 233."
309B,Almora (near new NH No. 109),Rameshwar (at new NH No. 9 junction),82,The highway starting from its junction with new NH No. 109 near Almora and terminating at its junction with new NH No. 9 at Rameshwar in the State of Uttarakhand. Old NH No.: 318.
509,Moradabad (on NH-9),Agra (on NH-44),220,"The highway starting from its junction with NH-9 at Moradabad connecting Chandausi, Babrala, Aligarh terminating at its junciton on NH-44 at Agra in the State of Uttar Pradesh. Old NH No.: 93."
709,Rohtak (near NH-9),Panipat (near NH-44),188.29,The highway starting from its junction with NH-9 near Rohtak connecting Gohana and terminating at its junction with NH-44 near Panipat in the State of Haryana. Old NH No.: 71A.
709A,Garhmukteswar (near NH-9),Bhiwani (near NH-709),311,"The highway starting from its junction with NH-9 near Garhmukteswar connecting Meerut, Budhana, Shamli in the state of Uttar Pradesh, Karnal, Jind, Mundal and terminating at its junction with NH-709 near Bhiwani in the state of Haryana. Old NH No.: 313."
10,Indo / Bangladesh Border,Gangtok,117.97,"The highway starting from Indo / Bangladesh Border connecting Fulbari Siliguri in the State of West Bengal connecting Sivok, Kalimpang near N.H-10 and terminating at Gangtok in the State of Sikkim. Old NH No.: 31C, 31 & 31A."
110,Siliguri (near NH-10),Darjiling,77,The highway starting from its junction with NH10 -near Siliguri connecting Karsiyang and terminating at Darjiling in the State of West Bengal. Old NH No.: 55.
310,Ranipaul (on NH-10),Nathula,87,"The highway starting from Ranipaul on NH-10 connecting Burduk (along proposed Gangtok bypass), menla and terminating at Nathula in the state of Sikkim. Old NH No.: 34A."
310A,Tashiview point (near NH-10),Mangan,55,The highway starting from its junction with NH-10 near Tashiview point connecting Phodong and terminating at Mangan in the State of Sikkim. Old NH No.: 248.
710,Melli (near NH10),Tarku (on NH-510),45,"The highway starting from its junction with NH10 -near Melli connecting Manpur, Namchi, Damthang and terminating at Tarku on NH-510 in the state of Sikkim. Old NH No.: 249."
510,Singtham (near NH-10),Geyzing (Gyalshing),70,"The highway starting from its junction with NH-10 near Singtham connecting Tarku, Ravangla, Legship and terminating at Geyzing (Gyalshing) in the State of Sikkim. Old NH No.: 250."
11,Myajlar (near NH-70),Rewari (near new NH No.-352),847.7,"The highway starting from its junction with NH-70 near Myajlar connecting Jaisalmer, Pokharan, Bikaner, Sri Dungarpur, Ratangarh, Fatehpur, Jhunjhunu, Chirawa in the State of Rajasthan, Narnaul and terminating at its junction with new NH No.-352 near Rewari in the State of Haryana. Old NH No.: 15 &11."
12,Dalkola (near NH-27),Bok-Khali,432.3,"The highway starting from its junction with NH-27 near Dalkola connecting Raiganj, Gajol, Maldah, Farakka, Morgram, Baharampur, Krishananagar, Ranaghat, Barasat, Kolkata, Kakdwip and terminating at Bok-Khali in the State of West Bengal. Old NH No.: 34 & 117."
112,Barasat (near NH-12),Indo/Bangladesh Border,59.6,"The highway starting from its junction with NH-12 near Barasat connecting Gaighata, Bangaon and terminating at Indo/Bangladesh Border in the State of West Bengal. Old NH No.: 35."
512,Gajol (near NH-12),Hilli (near Indo/Bangladesh Border),107,"The highway starting from its junction with NH-12 near Gajol connecting Daulatpur, Bansihari, Gangarampur, Harsura, Balurghat and terminating at Hilli in the State of West Bengal near Indo/Bangladesh Border. Old NH No.: 264."
13,Tawang,Wakro (near NH-15),1293,"The highway starting from Tawang connecting Bomdila, Nechipu, Seppa, Sagalie, Ziro, Daporijo, Along, Pasighat, Tezu and terminating at its junciton with NH-15 near Wakro in the State of Arunachal Pradesh. Old NH No.: 229 & 52."
113,Hawacamp (near NH-13),Hawai,165,The highway starting from its junction with NH-13 near Hawacamp connecting Hayuliang and terminating near Hawai in the State of Arunachal Pradesh. Old NH No.: 291.
313,Meka (near NH-13),Anini,235,The highway starting from its junction with NH-13 near Meka and terminating near Anini in the State of Arunachal Pradesh. Old NH No.: 290.
513,Passighat (near NH-13),Yingkiong,140,The highway starting from its junction with NH-13 near Passighat connecting Mariyang and terminating at Yingkiong in the State of Arunachal Pradesh. Old NH No.: 289.
713,Joram (near NH-13),Koloriang,158,"The highway starting from its junction with NH-13 near Joram connecting Palin, Sangram and terminating at Koloriang in the State of Arunachal Pradesh. Old NH No.: 288."
713A,Hoj (near NH-13),Pappu (near NH-415),35,The highway starting from its junction with NH-13 near Hoj connecting Yupia and terminating at its junction with NH-415 near Pappu (near Nahurlagun) in the State of Arunachal Pradesh. Old NH No.: 292.
14,Morgram (near NH-12),Kharagpur (near NH-16),373.13,"The highway starting from its junction with NH-12 near Morgram connecting Rampur Hat, Siuri, Raniganj, Bankura, Garhbeta, Salbani and terminating at its junction with NH-16 near Kharagpur in the State of West Bengal. Old NH No.: 60."
114,Mallarpur (near NH-14),Barddhaman (near NH-19),119.25,"The highway starting from its junction with NH-14 near Mallarpur connecting Mayureswar, Prantik, Bolpur, Bhedia, Guskhara, Talit and terminating at its junction with NH-19 near Barddhaman in the State of West Bengal. Old NH No.: 2B."
114A,Rampurhat (on N.H-14),Dumri (on N.H-19),311.64,"The highway starting from Rampurhat on N.H-14 connecting Sunrichua in the state of West Bengal connecting Shikaripara, Dumka, Lakrapahari, Jama, Jarmundi, Choupa More, Deogarh, Sarath, Madhupur, Giridhi and terminating at Dumri on N.H-19 in the state of Jharkhand. Old NH No.: 40A."
314,Bankura (near NH-14),Puruliya (near NH-18),83.56,The highway starting from its junction with NH-14 near Bankura and terminating at its junction with NH-18 near Puruliya in the State of West Bengal. Old NH No.: 60A.
15,Baihata-Charali (near NH-27),Wakro (near NH-13),665.46,"The highway starting from its junction with NH-27 near Baihata-Charali connecting Mangaldai, Dhekiajuli, Tezpur, Banderdeva, North Lakhimpur, Dibrugarh, Tinsukia, Dum Duma in the State of Assam and terminating at its junction with NH-13 near Wakro in the State of Arunachal Pradesh. Old NH No.: 52, 52B & 37."
115,Dum Duma (near NH-15),Roing (near NH13),78.62,"The highway starting from its juction with NH-15 near Dum Duma connecting Saikhoaghat, Kundil Bazar in the State of Assam and terminating at its junction with NH13 -near Roing in the State of Arunachal Pradesh. Old NH No.: 37."
215,Mahadevpur (near NH-15),Dibrugarh (near NH-15),330.04,"The highway starting from its junction with NH-15 near Mahadevpur connecting Namchik, Changlang, Khonsa, Kanubari in the State of Arunachal Pradesh and terminating at its junction with NH-15 near Dibrugarh in the State of Assam. Old NH No.: 52B."
315,Makum (near NH-15),India/Myanmar Border,112.54,"The highway starting from its junction with NH-15 near Makum connecting Ledo, Lekhapani in the State of Assam, Licok near NH and terminating at India/Myanmar Border. Old NH No.: 38 & 153."
315A,Tinsukia (on N.H-15),Khonsa (on N.H-215),99.22,"The highway starting from Tinsukia on N.H-15 connecting Naharkatia in the State of Assam connecting Hukanjuri, terminating at Khonsa on N.H-215 in the state of Arunachal Pradesh. Old NH No.: 45A."
415,Ghopur (near NH-15),Banderdeva (near NH-15),60.44,The highway starting from its junction with NH-15 near Ghopur in the State of Assam connecting Itanagar in the State of Arunachal Pradesh Daimukh and terminating at its junction with NH-15 near Banderdeva in the State of Assam. Old NH No.: 52A.
515,Kulajan (near NH-15),Pasighat (near NH-13),101,The highway starting from its junction with NH-15 near Kulajan connecting Jonai in the State of Assam and terminating at its junction with NH-13 near Pasighat in Arunachal Pradesh. Old NH No.: 52.
715,Tejpur (near NH-15),Jhanji (near NH-2),195.1,"The highway starting from its junction with NH-15 near Tejpur connecting Jakhalabandha, Bokakhat, Jorhat and terminating at its junction with NH-2 near Jhanji in the State of Assam. Old NH No.: 37A & 37."
715A,Nakhola (near NH-27),Indo/Bhutan border,142.5,"The highway starting from its junction with NH-27 near Nakhola connecting Jagiroad, Marigaon, Kaupati, Rowta, Udalguri, Khoirabari and terminating at Indo/Bhutan border in the State of Assam. Old NH No.: 254."
16,Kolkata (near NH-19),Chennai (near NH-48),1621.62,"The highway starting from its junction with NH-19 near Kolkata connecting Kharagpur in the State of West Bengal, Baleshwar and Bhubaneshwar in the State of Orissa, Anandapuram Pendurthi, Anakapalli, Rajahmundary, Deverapalli, Gondugolanu, Vijayawada, Nellore in the State of Andhra Pradesh and terminating at its junction with NH-48 near Chennai in the State of Tamil Nadu. Old NH No.: 5, 6 & 217, G.Q."
116,Kolaghat (near NH-16),Haldia Port,52.7,The highway starting from its junction with NH-16 near Kolaghat and terminating at Haldia Port in the State of West Bengal. Old NH No.: 41.
116B,Nandakumar (on N.H-116),Chandaneswar,90.78,"The highway starting from Nandakumar on N.H-116 connecting Contai, Digha and terminating at Chandaneswar in the state of West Bengal. Old NH No.: 50A."
316,Bhubaneshwar (near NH-16),Puri-Satpada,152.77,"The highway starting from its junction with NH-16 near Bhubaneshwar connecting Puri-Konark and Puri-Satpada in the State of Orissa. Old NH No.: 203, 203A."
516,Chhatrapur (near NH-16),Gopalpur,5.92,The highway starting from its junction with NH-16 near Chhatrapur and terminating at Gopalpur in the State of Orissa. Old NH No.: 217.
216,Kathipudi (near NH-16),Ongole (near NH-16),391.3,"The highway starting from its junction with NH-16 near Kathipudi connecting Kakinada, Machilipatnam and terminating at its junction with NH-16 near Ongole in the State of Andhra Pradesh. Old NH No.: 214, 214A."
216A,Gondugolanu (near NH-16),Rajahmundary (near NH-16),120.74,"The highway starting from its junction with NH-16 near Gondugolanu connecting Tanaku, Ravulapalem and terminating at its junction with NH-16 near Rajahmundary in the State of Andhra Pradesh. Old NH No.: 331."
716,Chennai (near NH No. 16),Muddanuru (near NH-67),319.3,"The highway starting from its junction with NH No. 16 near Chennai connecting Tiruttani in the State of Tamil Nadu, Reniguta, Mamanduru, Settigunta, Koduru, Pullampeta, Rajampet, Nandalur, Madhavaram, Vonimitta, Bhakarapet, Kadapa (Cuddapah), Kuarunipalli, Vellore, Thapetla, Kothapalli, Chidipirala, Pandillapalle, Thiparulu, Yeragunttla, Nidizivve, Chillamakuru, and terminating at its junction with NH-67 near Muddanuru in the State of Andhra Pradesh. Old NH No.: 205."
17,Sivok (near NH-10),Jainti (near Indo/Bhutan border),161.7,"The highway starting from its junciton with NH-10 near Sivok connecting Bagrakot, Chalsa, Nagarkata, Goyerkata, Birpara, Falakata, Sonarpur, Koch-Bihar, Tufanganj in the State of West Bengal and terminating at Jainti near Indo/Bhutan border. Old NH No.: 31, 31C, 31D, 31D(New) & 31C(New)."
